,Title,Release Date,Color,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,Score,Total Reviews,Duration,Gross Revenue,Budget,Z_Score,Softmax_Score
634,The Long Kiss Goodnight,12-02-1996,Color,Action,English,USA,R,Melina Kanakaredes,Renny Harlin,394.0,1531,212,4000,6.7,94.0,121.0,33328051,65000000,0.6623376623376622,0.00021470676618970307
635,The Mirror Has Two Faces,15-12-1996,Color,Comedy,English,USA,PG-13,Jeff Bridges,Barbra Streisand,12000.0,13716,0,0,6.5,27.0,122.0,41252428,42000000,0.6363636363636364,0.00017578703237343372
636,The Nutty Professor,14-09-1996,Color,Comedy,English,USA,PG-13,Jada Pinkett Smith,Tom Shadyac,851.0,3155,293,960,5.6,57.0,95.0,128769345,54000000,0.5194805194805193,7.14696739388766e-05
637,The Phantom,18-02-1996,Color,Action,English,Australia,PG,Cary-Hiroyuki Tagawa,Simon Wincer,1000.0,3855,23,0,4.9,60.0,100.0,17300889,45000000,0.42857142857142855,3.549078974481005e-05
638,The Rock,03-12-1996,Color,Action,English,USA,R,Nicolas Cage,Michael Bay,12000.0,15999,0,51000,7.4,122.0,136.0,134006721,75000000,0.7532467532467533,0.0004323663317267452
639,Thinner,17-11-1996,Color,Fantasy,English,USA,R,Joe Mantegna,Tom Holland,1000.0,2777,85,0,5.7,73.0,93.0,15171475,8500000,0.5324675324675323,7.89862051615955e-05
640,Tin Cup,05-05-1996,Color,Comedy,English,USA,R,Don Johnson,Ron Shelton,982.0,3648,41,1000,6.3,48.0,135.0,53854588,45000000,0.6103896103896103,0.00014392224939644498
641,Trainspotting,10-09-1996,Color,Drama,English,UK,R,Kelly Macdonald,Danny Boyle,2000.0,3559,0,21000,8.2,134.0,94.0,16501785,3500000,0.857142857142857,0.0009622489673600217
642,Trees Lounge,01-01-1996,Color,Comedy,English,USA,R,Steve Buscemi,Steve Buscemi,12000.0,14420,12000,872,7.2,43.0,95.0,695229,1300000,0.7272727272727271,0.00035399161238020254
643,Twister,15-07-1996,Color,Action,English,USA,PG-13,Philip Seymour Hoffman,Jan de Bont,22000.0,26239,101,0,6.3,114.0,113.0,241688385,92000000,0.6103896103896103,0.00014392224939644498
644,Up Close & Personal,19-06-1996,Color,Drama,English,USA,PG-13,Joe Mantegna,Jon Avnet,1000.0,3653,50,829,6.1,34.0,124.0,51045801,60000000,0.5844155844155844,0.00011783357163302848
645,Waiting for Guffman,29-12-1996,Color,Comedy,English,USA,R,Catherine O'Hara,Christopher Guest,925.0,3559,378,0,7.6,50.0,84.0,2892582,4000000,0.7792207792207791,0.0005280934301066412
646,Walking and Talking,06-11-1996,Color,Comedy,English,UK,R,Kevin Corrigan,Nicole Holofcener,778.0,2400,132,227,6.8,18.0,86.0,1277257,1000000,0.6753246753246751,0.00023728767390692747
647,When the Cat's Away,19-01-1996,Color,Comedy,French,France,R,Simon Abkarian,C̩dric Klapisch,75.0,102,82,166,6.9,29.0,91.0,1652472,300000,0.6883116883116883,0.00026224343641975407
648,White Squall,05-10-1996,Color,Adventure,English,USA,PG-13,Jeff Bridges,Ridley Scott,12000.0,16237,0,911,6.6,37.0,129.0,10300000,38000000,0.6493506493506492,0.0001942747159539413
649,8 Heads in a Duffel Bag,19-05-1997,Color,Comedy,English,USA,R,Kristy Swanson,Tom Schulman,578.0,1363,45,417,5.3,30.0,95.0,3559990,3000000,0.4805194805194804,5.2946036680101127e-05
650,A Simple Wish,30-03-1997,Color,Comedy,English,USA,PG,Mara Wilson,Michael Ritchie,1000.0,5535,23,517,5.4,21.0,89.0,8119205,28000000,0.49350649350649345,5.85144199662143e-05
651,Absolute Power,29-11-1997,Color,Action,English,USA,R,Clint Eastwood,Clint Eastwood,16000.0,19139,16000,1000,6.7,76.0,121.0,50007168,50000000,0.6623376623376622,0.00021470676618970307
652,Air Bud,14-10-1997,Color,Comedy,English,USA,PG,Kevin Zegers,Charles Martin Smith,2000.0,4277,188,902,5.1,35.0,98.0,24629916,3000000,0.4545454545454544,4.334854848359364e-05
653,Air Force One,21-04-1997,Color,Action,English,USA,R,Harrison Ford,Wolfgang Petersen,11000.0,23603,249,0,6.4,142.0,124.0,172620724,85000000,0.6233766233766234,0.00015905868449698146
654,Alien: Resurrection,05-02-1997,Color,Action,English,USA,R,Gary Dourdan,Jean-Pierre Jeunet,1000.0,3090,0,0,6.3,223.0,116.0,47748610,75000000,0.6103896103896103,0.00014392224939644498
655,Amistad,28-11-1997,Color,Drama,English,USA,R,Anthony Hopkins,Steven Spielberg,12000.0,37570,14000,0,7.2,77.0,155.0,44175394,36000000,0.7272727272727271,0.00035399161238020254
656,An Alan Smithee Film: Burn Hollywood Burn,08-05-1997,Color,Comedy,English,USA,R,Eric Idle,Arthur Hiller,795.0,2655,71,89,3.5,29.0,86.0,15447,10000000,0.2467532467532467,8.751920998960058e-06
657,Anaconda,21-12-1997,Color,Action,English,USA,PG-13,Frank Welker,Luis Llosa,2000.0,3717,49,0,4.6,119.0,89.0,65557989,45000000,0.3896103896103895,2.6292223709339124e-05
658,Anastasia,22-12-1997,Color,Adventure,English,USA,G,Kirsten Dunst,Don Bluth,4000.0,6017,383,0,7.1,78.0,94.0,58297830,50000000,0.7142857142857142,0.00032030485655248854
659,As Good as It Gets,14-12-1997,Color,Comedy,English,USA,PG-13,Lupe Ontiveros,James L. Brooks,625.0,1474,274,11000,7.7,156.0,139.0,147637474,50000000,0.792207792207792,0.0005836335009806748
660,Austin Powers: International Man of Mystery,29-11-1997,Color,Comedy,English,USA,PG-13,Will Ferrell,Jay Roach,8000.0,10557,116,0,7.0,129.0,68.0,53868030,17000000,0.7012987012987012,0.0002898238193873322
661,Batman & Robin,20-11-1997,Color,Action,English,USA,PG-13,Michael Gough,Joel Schumacher,920.0,2699,541,0,3.7,183.0,125.0,107285004,125000000,0.2727272727272727,1.0689620447329726e-05
662,Boogie Nights,11-01-1997,Color,Drama,English,USA,R,Don Cheadle,Paul Thomas Anderson,3000.0,3677,0,0,7.9,153.0,155.0,26384919,15000000,0.8181818181818181,0.0007128515678524725
663,Breakdown,14-11-1997,Color,Action,English,USA,R,Kathleen Quinlan,Jonathan Mostow,551.0,1874,84,0,6.9,72.0,93.0,50129186,36000000,0.6883116883116883,0.00026224343641975407
664,Cats Don't Dance,18-12-1997,Color,Animation,English,USA,G,George Kennedy,Mark Dindal,3000.0,7394,10,643,6.9,18.0,75.0,3562749,32000000,0.6883116883116883,0.00026224343641975407
665,Character,25-10-1997,Color,Crime,Dutch,Netherlands,R,Jan Decleir,Mike van Diem,25.0,48,4,689,7.8,54.0,122.0,713413,4500000,0.805194805194805,0.0006450147720985165
666,Chasing Amy,10-07-1997,Color,Comedy,English,USA,R,Matt Damon,Kevin Smith,13000.0,15765,0,0,7.3,147.0,113.0,12006514,250000,0.7402597402597401,0.0003912212352453071
667,Children of Heaven,15-09-1997,Color,Drama,Persian,Iran,PG,Bahare Seddiqi,Majid Majidi,36.0,100,373,0,8.5,46.0,89.0,925402,180000,0.8961038961038961,0.0012989002436718403
668,Con Air,02-01-1997,Color,Action,English,USA,R,Steve Buscemi,Simon West,12000.0,15362,165,0,6.8,139.0,123.0,101087161,75000000,0.6753246753246751,0.00023728767390692747
669,Conspiracy Theory,19-12-1997,Color,Action,English,USA,R,Julia Roberts,Richard Donner,8000.0,8355,503,0,6.7,80.0,135.0,76081498,75000000,0.6623376623376622,0.00021470676618970307
670,Contact,16-08-1997,Color,Drama,English,USA,PG,Matthew McConaughey,Robert Zemeckis,11000.0,12289,0,15000,7.4,159.0,150.0,100853835,90000000,0.7532467532467533,0.0004323663317267452
671,Cop Land,15-07-1997,Color,Crime,English,USA,R,Robert De Niro,James Mangold,22000.0,40117,446,2000,6.9,131.0,120.0,44886089,10000000,0.6883116883116883,0.00026224343641975407
672,Critical Care,07-03-1997,Color,Comedy,English,Australia,R,Kyra Sedgwick,Sidney Lumet,941.0,3099,0,88,6.0,25.0,107.0,141853,12000000,0.5714285714285714,0.00010662022471438481
673,Cube,18-03-1997,Color,Mystery,English,Canada,R,David Hewlett,Vincenzo Natali,686.0,1743,165,11000,7.3,99.0,90.0,489220,365000,0.7402597402597401,0.0003912212352453071
674,Dante's Peak,18-08-1997,Color,Action,English,USA,PG-13,Jamie Ren̩e Smith,Roger Donaldson,650.0,1569,79,0,5.8,93.0,108.0,67155742,116000000,0.5454545454545453,8.729325687375192e-05
675,Deconstructing Harry,22-05-1997,Color,Comedy,English,USA,R,Woody Allen,Woody Allen,11000.0,11867,11000,0,7.4,104.0,96.0,10569071,20000000,0.7532467532467533,0.0004323663317267452
676,Donnie Brasco,15-01-1997,Color,Biography,English,USA,R,Johnny Depp,Mike Newell,40000.0,56014,179,0,7.8,117.0,147.0,41954997,35000000,0.805194805194805,0.0006450147720985165
677,Dream with the Fishes,07-03-1997,Color,Comedy,English,USA,R,David Arquette,Finn Taylor,611.0,1692,4,166,7.0,28.0,97.0,464655,1000000,0.7012987012987012,0.0002898238193873322
678,Event Horizon,01-08-1997,Color,Horror,English,UK,R,Sean Pertwee,Paul W.S. Anderson,722.0,2525,545,10000,6.7,172.0,130.0,26616590,60000000,0.6623376623376622,0.00021470676618970307
679,Eve's Bayou,02-07-1997,Color,Drama,English,USA,R,Jurnee Smollett-Bell,Kasi Lemmons,2000.0,3843,148,599,7.3,31.0,109.0,14821531,6000000,0.7402597402597401,0.0003912212352453071
680,Face/Off,22-07-1997,Color,Action,English,USA,R,Nicolas Cage,John Woo,12000.0,17087,610,11000,7.3,155.0,138.0,112225777,80000000,0.7402597402597401,0.0003912212352453071
681,"First Love, Last Rites",23-03-1997,Color,Drama,English,USA,R,Robert John Burke,Jesse Peretz,318.0,751,37,26,5.5,16.0,94.0,40542,300000,0.5064935064935064,6.466843523472504e-05
682,Flubber,10-11-1997,Color,Comedy,English,USA,PG,Robin Williams,Les Mayfield,49000.0,50005,10,0,5.2,53.0,90.0,92969824,80000000,0.46753246753246747,4.7907555124859926e-05
683,G.I. Jane,18-04-1997,Color,Action,English,USA,R,Viggo Mortensen,Ridley Scott,10000.0,15569,0,2000,5.8,97.0,125.0,48154732,50000000,0.5454545454545453,8.729325687375192e-05
684,Gattaca,20-06-1997,Color,Drama,English,USA,PG-13,Blair Underwood,Andrew Niccol,685.0,1942,487,17000,7.8,175.0,106.0,12339633,36000000,0.805194805194805,0.0006450147720985165
685,George of the Jungle,10-02-1997,Color,Action,English,USA,PG,Brendan Fraser,Sam Weisman,3000.0,4518,39,5000,5.4,53.0,92.0,105263257,55000000,0.49350649350649345,5.85144199662143e-05
686,Good Will Hunting,12-05-1997,Color,Drama,English,USA,R,Robin Williams,Gus Van Sant,49000.0,63710,835,31000,8.3,161.0,126.0,138339411,10000000,0.8701298701298702,0.0010634495746746208
687,Grosse Pointe Blank,10-07-1997,Color,Action,English,USA,R,Minnie Driver,George Armitage,893.0,2044,5,0,7.4,111.0,107.0,28014536,15000000,0.7532467532467533,0.0004323663317267452
688,Hav Plenty,02-06-1997,Color,Comedy,English,USA,R,Hill Harper,Christopher Scott Cherot,465.0,714,21,161,6.5,25.0,84.0,2301777,650000,0.6363636363636364,0.00017578703237343372
689,Hurricane Streets,14-04-1997,Black and White,Crime,English,USA,R,Edie Falco,Morgan J. Freeman,659.0,2322,204,51,6.5,17.0,86.0,334041,500000,0.6363636363636364,0.00017578703237343372
690,I Know What You Did Last Summer,10-12-1997,Color,Horror,English,USA,R,Muse Watson,Jim Gillespie,45000.0,50284,13,0,5.6,140.0,99.0,72219395,17000000,0.5194805194805193,7.14696739388766e-05
691,I Married a Strange Person!,13-09-1997,Color,Animation,English,USA,R,Charis Michelsen,Bill Plympton,5.0,7,45,178,7.0,19.0,75.0,203134,250000,0.7012987012987012,0.0002898238193873322
692,In & Out,05-05-1997,Color,Comedy,English,USA,PG-13,Tom Selleck,Frank Oz,19000.0,23504,0,0,6.3,83.0,90.0,63826569,35000000,0.6103896103896103,0.00014392224939644498
693,In the Company of Men,18-01-1997,Color,Comedy,English,Canada,R,Stacy Edwards,Neil LaBute,136.0,254,119,489,7.3,80.0,97.0,2856622,25000,0.7402597402597401,0.0003912212352453071
694,Jackie Brown,13-11-1997,Color,Crime,English,USA,R,Robert De Niro,Quentin Tarantino,22000.0,25522,16000,0,7.5,140.0,154.0,39647595,12000000,0.7662337662337662,0.0004778386957794468
695,Kiss the Girls,02-07-1997,Color,Crime,English,USA,R,Morgan Freeman,Gary Fleder,11000.0,14322,39,0,6.6,83.0,115.0,60491560,27000000,0.6493506493506492,0.0001942747159539413
696,Kundun,27-12-1997,Color,Biography,English,USA,PG-13,Tenzin Thuthob Tsarong,Martin Scorsese,2.0,4,17000,0,7.0,85.0,134.0,5532301,28000000,0.7012987012987012,0.0002898238193873322
697,L.A. Confidential,16-02-1997,Color,Crime,English,USA,R,Kevin Spacey,Curtis Hanson,18000.0,19129,161,11000,8.3,177.0,138.0,64604977,35000000,0.8701298701298702,0.0010634495746746208
698,Liar Liar,20-09-1997,Color,Comedy,English,USA,PG-13,Maura Tierney,Tom Shadyac,509.0,2070,293,0,6.8,73.0,86.0,181395380,45000000,0.6753246753246751,0.00023728767390692747
699,Love Jones,16-02-1997,Color,Drama,English,USA,R,Leonard Roberts,Theodore Witcher,962.0,3871,28,1000,7.4,16.0,104.0,12514138,10000000,0.7532467532467533,0.0004323663317267452
700,Mad City,09-05-1997,Color,Crime,English,USA,PG-13,Mia Kirshner,Costa-Gavras,972.0,2606,333,697,6.2,59.0,115.0,10556196,50000000,0.5974025974025973,0.00013022623654180673
701,Men in Black,01-01-1997,Color,Adventure,English,USA,PG-13,Will Smith,Barry Sonnenfeld,10000.0,12998,188,0,7.3,175.0,98.0,250147615,90000000,0.7402597402597401,0.0003912212352453071
702,Midnight in the Garden of Good and Evil,01-04-1997,Color,Crime,English,USA,R,Kevin Spacey,Clint Eastwood,18000.0,19689,16000,0,6.6,91.0,155.0,25078937,30000000,0.6493506493506492,0.0001942747159539413
703,Money Talks,13-03-1997,Color,Action,English,USA,R,Heather Locklear,Brett Ratner,695.0,2530,420,666,6.1,29.0,97.0,41067398,25000000,0.5844155844155844,0.00011783357163302848
704,Mortal Kombat: Annihilation,20-01-1997,Color,Action,English,USA,PG-13,Brian Thompson,John R. Leonetti,663.0,2266,40,1000,3.7,59.0,95.0,35927406,30000000,0.2727272727272727,1.0689620447329726e-05
705,My Best Friend's Wedding,25-10-1997,Color,Comedy,English,USA,PG-13,Julia Roberts,P.J. Hogan,8000.0,12344,29,0,6.3,84.0,105.0,126805112,46000000,0.6103896103896103,0.00014392224939644498
706,Nothing to Lose,16-03-1997,Color,Action,English,USA,R,Kelly Preston,Steve Oedekerk,742.0,2457,176,0,6.7,49.0,98.0,44455658,25000000,0.6623376623376622,0.00021470676618970307
707,Orgazmo,07-11-1997,Color,Comedy,English,USA,NC-17,Trey Parker,Trey Parker,406.0,904,406,0,6.2,59.0,92.0,582024,1000000,0.5974025974025973,0.00013022623654180673
708,Oscar and Lucinda,18-02-1997,Color,Drama,English,USA,R,Tom Wilkinson,Gillian Armstrong,1000.0,2004,44,329,6.7,28.0,132.0,1508689,16000000,0.6623376623376622,0.00021470676618970307
709,Prefontaine,10-02-1997,Color,Biography,English,USA,PG-13,Kurtwood Smith,Steve James,1000.0,1610,23,0,6.8,23.0,106.0,532190,8000000,0.6753246753246751,0.00023728767390692747
710,Princess Mononoke,18-07-1997,Color,Adventure,Japanese,Japan,PG-13,Minnie Driver,Hayao Miyazaki,893.0,2710,6000,11000,8.4,174.0,134.0,2298191,2400000000,0.8831168831168831,0.001175293542770307
711,Scream 2,10-08-1997,Color,Horror,English,USA,R,Omar Epps,Wes Craven,865.0,2321,0,0,6.1,195.0,120.0,101334374,24000000,0.5844155844155844,0.00011783357163302848
712,Selena,05-08-1997,Color,Biography,English,USA,PG,Jon Seda,Gregory Nava,565.0,1735,16,0,6.7,37.0,127.0,35422828,20000000,0.6623376623376622,0.00021470676618970307
713,Seven Years in Tibet,04-06-1997,Color,Adventure,English,USA,PG-13,Brad Pitt,Jean-Jacques Annaud,11000.0,12226,218,0,7.0,76.0,136.0,37901509,70000000,0.7012987012987012,0.0002898238193873322
714,Shadow Conspiracy,07-03-1997,Color,Action,English,USA,R,Sam Waterston,George P. Cosmatos,849.0,2457,170,68,4.9,24.0,103.0,2154540,45000000,0.42857142857142855,3.549078974481005e-05
715,Shooting Fish,06-01-1997,Color,Comedy,English,UK,PG,Peter McNamara,Stefan Schwartz,419.0,975,13,167,6.6,43.0,99.0,302204,3000000,0.6493506493506492,0.0001942747159539413
716,Smilla's Sense of Snow,26-12-1997,Color,Action,English,Denmark,R,Jim Broadbent,Bille August,1000.0,3125,55,561,6.4,50.0,121.0,2221994,35000000,0.6233766233766234,0.00015905868449698146
717,Soul Food,26-09-1997,Color,Comedy,English,USA,R,Vanessa Williams,George Tillman Jr.,1000.0,4737,88,508,6.9,34.0,115.0,43490057,7500000,0.6883116883116883,0.00026224343641975407
718,Spawn,08-04-1997,Color,Action,English,USA,R,Michael Jai White,Mark A.Z. Dipp̩,2000.0,7039,20,0,5.2,70.0,98.0,54967359,40000000,0.46753246753246747,4.7907555124859926e-05
719,Speed 2: Cruise Control,28-10-1997,Color,Action,English,USA,PG-13,Jason Patric,Jan de Bont,673.0,2027,101,894,3.7,79.0,121.0,48068396,160000000,0.2727272727272727,1.0689620447329726e-05
720,Spice World,15-01-1997,Color,Comedy,English,UK,PG,Jason Flemyng,Bob Spiers,1000.0,2176,14,0,3.3,33.0,93.0,29247405,25000000,0.22077922077922071,7.1654668703575704e-06
721,Starship Troopers,03-01-1997,Color,Action,English,USA,R,Jake Busey,Paul Verhoeven,660.0,2031,719,0,7.2,192.0,129.0,54700065,105000000,0.7272727272727271,0.00035399161238020254
722,Steel,25-05-1997,Color,Action,English,USA,PG-13,Charles Napier,Kenneth Johnson,503.0,3100,34,0,2.8,36.0,97.0,1686429,16000000,0.15584415584415579,4.346075348026996e-06
723,Switchback,29-07-1997,Color,Crime,English,USA,R,Gregory Scott Cummins,Jeb Stuart,37.0,74,11,389,6.4,38.0,118.0,6482195,37000000,0.6233766233766234,0.00015905868449698146
724,The Apostle,19-08-1997,Color,Drama,English,USA,PG-13,John Beasley,Robert Duvall,205.0,428,3000,1000,7.2,95.0,134.0,20733485,5000000,0.7272727272727271,0.00035399161238020254
725,The Borrowers,28-02-1997,Color,Adventure,English,UK,PG,Jim Broadbent,Peter Hewitt,1000.0,2056,12,0,5.8,42.0,89.0,22359293,29000000,0.5454545454545453,8.729325687375192e-05
726,The Cure,08-12-1997,Color,Crime,Japanese,Japan,Not Rated,K̫ji Yakusho,Kiyoshi Kurosawa,89.0,115,62,817,7.4,78.0,111.0,94596,1000000,0.7532467532467533,0.0004323663317267452
727,The Devil's Advocate,11-12-1997,Color,Drama,English,USA,R,Keanu Reeves,Taylor Hackford,18000.0,45271,138,11000,7.5,117.0,136.0,60984028,57000000,0.7662337662337662,0.0004778386957794468
728,The Devil's Own,19-04-1997,Color,Action,English,USA,R,Harrison Ford,Alan J. Pakula,11000.0,26088,79,979,6.1,66.0,111.0,42877165,86000000,0.5844155844155844,0.00011783357163302848
729,The Fifth Element,30-03-1997,Color,Action,English,France,PG-13,Milla Jovovich,Luc Besson,14000.0,39319,0,18000,7.7,173.0,126.0,63540020,93000000,0.792207792207792,0.0005836335009806748
730,The Full Monty,24-06-1997,Color,Comedy,English,UK,R,Tom Wilkinson,Peter Cattaneo,1000.0,2323,11,0,7.2,122.0,91.0,45857453,3500000,0.7272727272727271,0.00035399161238020254
731,The Game,23-08-1997,Color,Drama,English,USA,R,Deborah Kara Unger,David Fincher,495.0,1397,21000,25000,7.8,157.0,129.0,48265581,50000000,0.805194805194805,0.0006450147720985165
732,The Ice Storm,25-04-1997,Color,Drama,English,USA,R,Joan Allen,Ang Lee,805.0,1466,0,0,7.5,124.0,112.0,7837632,18000000,0.7662337662337662,0.0004778386957794468
733,The Jackal,06-09-1997,Color,Action,English,USA,R,J.K. Simmons,Michael Caton-Jones,24000.0,38227,105,0,6.3,83.0,124.0,54910560,60000000,0.6103896103896103,0.00014392224939644498
734,The Last Time I Committed Suicide,04-09-1997,Color,Biography,English,USA,R,Keanu Reeves,Stephen Kay,18000.0,20135,19,161,5.8,12.0,92.0,12836,4000000,0.5454545454545453,8.729325687375192e-05
735,The Lost World: Jurassic Park,07-12-1997,Color,Action,English,USA,PG-13,Ariana Richards,Steven Spielberg,610.0,1635,14000,0,6.5,177.0,129.0,229074524,73000000,0.6363636363636364,0.00017578703237343372
736,The Man Who Knew Too Little,17-05-1997,Color,Action,English,USA,PG,Bill Murray,Jon Amiel,13000.0,15183,36,0,6.6,34.0,94.0,13801755,20000000,0.6493506493506492,0.0001942747159539413
737,The Peacemaker,10-02-1997,Color,Action,English,USA,R,Armin Mueller-Stahl,Mimi Leder,294.0,1289,75,0,5.9,93.0,124.0,41256277,50000000,0.5584415584415584,9.647396884097779e-05
738,The Postman,28-08-1997,Color,Action,English,USA,R,Olivia Williams,Kevin Costner,766.0,4346,0,0,6.0,79.0,177.0,17593391,80000000,0.5714285714285714,0.00010662022471438481
739,The Rainmaker,22-01-1997,Color,Crime,English,USA,PG-13,Matt Damon,Francis Ford Coppola,13000.0,16762,0,0,7.1,91.0,135.0,45856732,40000000,0.7142857142857142,0.00032030485655248854
740,The Relic,12-10-1997,Color,Horror,English,UK,R,John Kapelos,Peter Hyams,510.0,1976,0,956,5.7,95.0,110.0,33927476,40000000,0.5324675324675323,7.89862051615955e-05
741,The Saint,05-07-1997,Color,Action,English,USA,PG-13,Alun Armstrong,Phillip Noyce,192.0,475,176,0,6.2,64.0,116.0,61355436,68000000,0.5974025974025973,0.00013022623654180673
742,The Spanish Prisoner,08-12-1997,Color,Drama,English,USA,PG,Ben Gazzara,David Mamet,623.0,1722,342,578,7.3,97.0,110.0,10200000,10000000,0.7402597402597401,0.0003912212352453071
743,The Sticky Fingers of Time,17-12-1997,Black and White,Sci-Fi,English,USA,Not Rated,James Urbaniak,Hilary Brougher,119.0,154,0,67,6.3,8.0,81.0,18195,250000,0.6103896103896103,0.00014392224939644498
